id,recency,frequency,monetary,tenure,returns,channel_online
C01382,256,5,1814,53,0,0.26
C01643,27,15,293,19,3,0.84
C00538,19,10,1316,66,1,0.33
C00340,34,4,1189,69,0,0.24
C05033,28,13,635,14,0,0.9
C04762,38,1,362,1,0,0.52
C02542,101,1,1331,35,0,0.42
C02876,277,4,1400,44,0,0.25
C04952,130,2,2579,51,0,0.39
C01144,114,4,1829,49,0,0.5
C03115,19,12,300,52,0,0
C05180,7,12,863,74,0,0
C04207,131,1,1979,51,0,0.4
C05202,64,4,263,8,0,0.42
C01183,38,4,247,2,0,0.31
C05483,65,7,314,4,1,0.61
C05524,46,2,185,4,0,0.77
C03599,1,5,156,4,0,0.59
C02674,41,4,271,3,0,0.39
C05441,23,7,933,34,0,0.04
C03700,32,16,685,79,0,0.24
C05409,29,7,854,70,1,0.16
C04083,31,16,218,35,3,1
C04521,183,2,1806,55,0,0.36
C03867,31,14,574,109,0,0.18
C00753,19,19,220,30,4,0.73
C05586,38,10,438,17,1,1
C02710,33,11,613,32,1,0.14
C00878,44,7,598,81,1,0.13
C00732,205,3,1600,55,1,0.3
C02901,24,6,360,22,1,0.84
C04639,31,14,786,99,0,0.13
C05825,340,3,1171,63,0,0.33
C03785,51,13,570,57,1,0.08
C01022,6,16,813,64,0,0
C03935,175,1,530,33,0,0.47
C00288,25,10,357,27,2,0.93
C00968,15,10,713,59,1,0.03
C03186,31,10,887,84,1,0.02
C01646,8,5,127,1,0,0.45
C00172,7,13,301,22,0,0.88
C00037,36,14,436,19,3,1
C00421,280,2,1793,78,0,0.41
C02435,20,12,495,39,0,0.16
C01888,67,2,110,6,1,0.61
C05377,21,18,273,15,1,0.98
C05944,17,19,107,48,4,0.76
C04042,30,14,389,2,1,0.8
C04353,258,4,1854,50,1,0.35
C02225,16,9,762,72,0,0.23
C01859,344,6,1936,47,1,0.25
C05457,206,2,1831,26,0,0.59
C05501,18,19,419,31,0,0.96
C01694,6,13,1371,63,1,0.14
C05953,288,5,997,34,1,0.47
C04130,25,9,545,61,1,0.21
C03072,46,3,141,4,0,0.39
C02386,28,14,337,25,1,0.83
C05335,36,11,170,42,3,0.94
C03391,17,13,421,27,3,0.84
C04799,38,12,1307,41,0,0.03
C04460,32,3,417,2,1,0.6
C02662,244,3,1115,48,0,0.43
C01821,12,10,441,40,1,0.88
C02809,32,1,133,1,0,0.46
C01329,40,12,647,67,1,0
C04809,31,15,294,27,0,0.88
C01902,37,5,199,25,1,0.94
C02661,0,14,740,43,1,0
C04245,66,2,261,7,1,0.8
C04589,9,7,819,53,1,0.2
C03875,14,8,551,37,2,0.98
C00101,35,4,136,5,0,0.45
C00925,34,9,714,59,0,0.17
C02103,34,12,316,60,0,0.21
C01103,24,7,438,35,1,0.12
C05795,303,3,3233,59,1,0.18
C03892,29,6,754,90,1,0.15
C00367,9,14,513,52,0,0.09
C01153,31,7,808,73,0,0.16
C05134,31,11,386,27,3,1
C05242,6,9,595,62,1,0
C00778,30,9,772,82,0,0.37
C04481,268,3,591,48,0,0.29
C00056,22,8,222,20,2,0.95
C03046,17,10,825,84,1,0.04
C04203,43,12,814,49,0,0.21
C04539,259,4,2804,43,0,0.41
C04403,21,8,1084,66,0,0.02
C05514,266,6,1180,41,0,0.32
C03509,148,1,1949,77,0,0.38
C04760,16,13,526,28,1,0.31
C05513,32,7,643,78,0,0.02
C04625,0,17,252,29,3,0.57
C02760,14,15,319,20,1,0.69
C03376,44,8,597,52,1,0.11
C02468,60,11,1102,107,1,0.21
C04075,264,3,1150,66,0,0.14
C00825,68,3,187,6,1,0.54
C05261,36,12,457,59,0,0.49
C03824,302,6,3267,56,0,0.06
C01697,191,4,1359,36,2,0.24
C04879,35,13,1345,48,0,0.12
C02134,48,16,697,86,0,0.35
C00544,32,12,743,64,0,0.12
C05128,31,3,370,3,0,0.34
C03507,232,7,6995,58,0,0.43
C02879,20,11,889,41,0,0.19
C05997,107,1,1660,28,1,0.52
C02387,32,2,262,5,0,0.41
C04215,248,1,2932,25,1,0.24
C04979,16,8,678,57,0,0.06
C03606,190,2,2239,40,0,0.2
C00104,25,11,1113,78,1,0.11
C01002,24,13,463,32,2,0.96
C04575,200,2,582,27,0,0.35
C00435,5,13,299,59,1,0.2
C04311,55,2,257,11,0,0.45
C01361,30,11,228,14,3,0.84
C00795,27,3,143,5,1,0.7
C03048,4,9,802,55,2,0
C00575,34,3,112,2,1,0.52
C03382,27,11,841,61,0,0.13
C01455,19,18,600,32,0,0.91
C05879,27,4,87,2,0,0.53
C01335,28,15,572,47,1,0.07
C03992,60,5,213,8,3,0.52
C04498,138,7,887,37,0,0.29
C02371,31,11,524,57,0,0.19
C03701,32,2,93,4,1,0.56
C03885,19,15,732,33,0,0
C01858,10,14,341,13,1,0.98
C04007,49,12,870,66,0,0.23
C02483,10,6,481,25,0,0.04
C00251,21,16,603,52,0,0.18
C05329,52,3,113,1,0,0.45
C03337,35,6,1116,52,2,0.19
C01503,28,16,382,61,3,0.04
C03744,10,16,157,24,0,0.91
C01479,36,11,850,90,1,0.08
C04580,16,13,297,30,2,0.9
C04333,298,5,890,48,0,0.38
C01164,304,1,944,54,0,0.39
C04538,38,12,415,66,0,0.04
C05794,273,5,4649,33,0,0.68
C01982,36,2,271,7,0,0.36
C05916,50,14,688,56,0,0.21
C03529,15,12,687,37,1,0.06
C03136,38,13,313,22,1,0.88
C00720,7,10,635,47,3,1
C03741,47,5,133,3,0,0.7
C04454,18,13,607,55,1,0.25
C05692,13,13,744,53,1,0.01
C02526,39,8,1680,53,0,0.15
C04199,47,2,221,3,0,0.44
C00474,182,4,515,59,2,0.5
C04985,37,10,375,27,3,0.75
C01560,27,20,424,7,2,0.85
C04997,28,22,258,56,1,1
C02912,273,3,1498,56,0,0.41
C05356,24,9,473,43,0,0.16
C05688,0,16,879,30,1,0.18
C03800,5,19,261,21,3,0.99
C02152,14,11,723,80,1,0.2
C00036,18,20,289,30,1,0.92
C05380,46,2,243,7,0,0.54
C04470,30,18,742,34,0,0.79
C02653,64,5,292,1,2,0.38
C03138,36,18,426,31,0,1
C02147,35,14,1029,57,0,0.08
C03725,32,17,323,33,0,0.96
C01701,39,11,431,46,0,0.16
C02025,18,4,100,5,1,0.57
C02257,166,1,1251,59,0,0.47
C00938,43,20,1128,89,0,0
C05985,34,13,141,24,2,0.83
C00260,33,9,225,18,2,0.96
C00768,25,21,457,35,4,0.94
C03717,18,13,321,30,2,1
C05156,23,11,431,56,1,0.32
C00285,29,11,718,55,1,0.28
C01967,125,3,4497,34,0,0.31
C05967,5,12,454,34,2,0.91
C02441,15,12,1304,55,1,0.07
C03877,27,14,329,44,3,0.83
C05508,237,4,1598,35,1,0.36
C05971,44,10,639,58,0,0.02
C02979,24,13,176,44,4,0.95
C02900,38,8,802,25,0,0.11
C04336,79,4,440,3,1,0.53
C05752,26,5,867,81,0,0.01
C04026,35,6,972,76,1,0.18
C02151,25,11,392,66,1,0
C01856,58,13,568,79,0,0
C05784,28,1,378,1,1,0.7
C03228,41,17,298,46,4,0.99
C01648,255,2,1175,31,1,0.43
C01985,26,4,88,6,1,0.48
C00734,28,19,77,40,2,0.87
C00521,26,14,335,35,1,0.94
C05082,0,11,431,19,1,0.96
C02213,22,10,642,41,0,0.1
C05614,26,9,2241,38,1,0
C00705,12,14,292,32,0,1
C01906,33,12,1026,39,1,0
C02963,32,4,179,5,0,0.36
C02382,49,3,114,2,0,0.55
C04507,208,5,3349,63,1,0.22
C02734,7,8,1354,42,2,0.18
C00737,169,6,1759,14,0,0.06
C02208,0,6,81,4,1,0.38
C02477,14,11,337,48,1,0.1
C00079,184,5,3169,31,0,0.26
C05104,238,4,2329,3,0,0.62
C04588,293,1,2353,44,4,0.15
C04792,34,8,365,82,1,0.14
C05176,169,3,1080,45,2,0.52
C00295,18,4,264,6,0,0.45
C02931,284,3,4161,73,1,0.43
C00749,38,3,237,2,1,0.62
C04496,21,13,445,39,0,0.91
C05243,29,11,257,19,2,1
C05461,32,12,275,4,1,0.94
C04411,16,11,284,21,0,0.8
C01726,259,1,457,41,0,0.35
C00420,37,2,315,5,0,0.45
C00662,25,17,257,34,3,1
C03682,41,11,1478,81,1,0.11
C02835,62,3,103,1,0,0.37
C02780,47,1,128,4,0,0.61
C02339,0,11,774,40,0,0.06
C03407,38,10,790,16,1,0.9
C02490,53,5,310,8,0,0.49
C02529,28,16,981,76,0,0
C02960,25,12,543,44,0,0
C00072,28,16,1813,36,1,0.01
C01120,36,11,500,51,0,0.01
C03788,44,13,756,101,1,0.19
C03250,33,11,542,88,0,0
C00910,40,10,501,91,0,0
C02642,28,4,132,4,2,0.29
C04777,32,9,663,50,0,0.16
C04624,31,10,396,50,1,0.23
C05598,110,2,3090,76,0,0.36
C00402,77,3,263,3,0,0.83
C02784,22,14,805,62,0,0.22
C05152,25,17,1090,51,0,0.08
C01966,67,3,212,1,0,0.57
C00605,37,1,146,6,0,0.65
C03219,27,16,451,22,2,0.98
C01932,41,21,362,35,0,1
C01069,57,5,207,4,0,0.76
C03426,6,11,554,57,0,0.05
C02893,22,17,137,21,2,0.87
C00063,270,3,1776,54,1,0.12
C05378,0,13,725,34,1,0.16
C00089,168,3,1687,29,2,0.51
C00187,34,7,1075,73,1,0
C00022,39,8,602,41,0,0
C02309,36,3,234,5,0,0.73
C02287,25,14,255,34,4,0.91
C01638,25,12,470,43,0,0.16
C02895,34,4,112,6,0,0.4
C04448,16,10,408,44,0,0.47
C00762,202,4,1197,44,0,0.36
C03290,51,11,599,49,1,0.21
C05387,40,10,215,54,1,0.9
C01252,37,14,332,22,2,1
C00140,313,2,1499,32,0,0.2
C02489,41,11,1152,78,0,0.07
C04573,101,8,910,57,0,0.5
C04382,32,12,2019,34,0,0.28
C04869,26,5,631,90,0,0.13
C05394,29,12,269,35,2,0.93
C04951,282,5,1131,56,1,0.33
C02432,215,6,1311,44,1,0
C01203,27,6,278,32,3,0.89
C01970,24,13,409,56,0,0.29
C02090,74,5,123,2,0,0.56
C01088,257,4,2312,28,1,0.25
C02886,60,18,766,33,4,0.86
C03435,33,12,1048,62,0,0.02
C03044,55,3,124,3,0,0.67
C05426,39,15,1344,84,2,0.04
C01976,34,3,162,6,0,0.52
C05161,41,10,457,45,2,0.9
C03816,28,14,137,42,2,1
C05622,147,2,4543,36,1,0.38
C03932,34,3,122,6,0,0.62
C02930,25,8,1576,87,0,0.1
C04228,14,12,501,57,0,0
C00703,27,10,718,80,1,0.11
C03554,29,2,118,7,1,0.6
C04112,23,10,903,56,3,0.01
C02543,43,4,112,4,0,0.59
C04178,31,12,240,17,1,0.89
C04840,176,4,2141,33,0,0.62
C05696,45,12,809,51,0,0
C01625,16,16,241,41,2,0.91
C00116,10,10,986,91,0,0.13
C05824,6,15,866,61,1,0
C00391,4,1,161,5,0,0.52
C05416,30,17,214,30,0,0.61
C05922,31,10,833,78,1,0
C04895,32,3,78,1,0,0.39
C00403,228,4,4000,43,0,0.46
C05091,211,4,2679,58,0,0.12
C00867,27,16,294,44,2,0.68
C03160,198,2,3136,41,0,0.36
C03642,28,9,1730,64,1,0.16
C00898,17,3,396,3,0,0.51
C00613,21,12,1212,61,0,0.12
C03562,18,17,406,22,3,1
C00126,29,14,1202,42,1,0.33
C02230,221,3,927,79,0,0.24
C02897,43,17,130,31,1,0.95
C00523,25,3,337,4,0,0.49
C02194,6,9,200,52,5,0.79
C03005,32,5,238,4,0,0.48
C01187,10,6,452,52,1,0.07
C05650,285,6,2144,68,1,0.45
C04735,14,11,988,56,1,0.17
C03590,38,1,239,5,0,0.69
C00996,41,12,221,46,1,0.83
C01759,42,5,190,7,0,0.74
C05718,42,10,615,45,0,0.2
C02379,186,4,2501,39,1,0.56
C01198,16,14,446,78,1,0.08
C02983,37,3,172,4,0,0.71
C02298,185,3,1051,54,1,0.31
C01951,44,3,94,4,0,0.54
C05297,55,5,965,70,0,0
C01466,32,9,821,14,1,0.9
C01126,30,18,327,8,4,0.77
C03635,43,19,188,9,3,1
C04285,0,5,188,5,0,0.47
C01265,44,7,1017,58,0,0.07
C03220,21,13,1270,48,0,0.29
C05590,21,13,441,25,5,0.93
C00363,38,8,592,9,4,0.87
C05707,190,4,1592,55,0,0.4
C04344,20,15,273,52,1,0.88
C05962,4,20,328,25,1,1
C04183,19,3,352,6,0,0.49
C03224,19,13,699,79,0,0.14
C03827,39,15,465,63,3,0.91
C03570,70,11,1221,56,1,0.04
C01637,0,9,704,71,1,0.18
C00958,23,3,84,5,0,0.67
C04297,75,3,196,5,0,0.6
C03728,60,13,802,78,1,0
C04402,33,13,533,21,1,0.89
C01356,29,19,268,45,2,1
C02067,33,2,216,6,1,0.66
C03631,286,3,2576,81,0,0.42
C00320,156,3,636,58,1,0.29
C00975,280,3,2006,43,1,0.41
C00986,55,10,428,46,0,0
C04442,35,3,118,6,1,0.45
C02892,34,6,265,7,0,0.49
C01986,20,12,892,69,0,0.09
C04710,163,2,1307,62,0,0.44
C02770,44,11,1046,42,0,0.02
C00760,230,4,2118,46,1,0.6
C00127,12,8,252,13,6,0.93
C04357,19,13,644,48,2,0.95
C01941,41,2,321,2,0,0.58
C04772,37,16,154,1,4,0.84
C01717,0,11,361,69,4,0.19
C02877,235,2,3780,48,0,0.3
C02297,28,16,805,72,2,0.33
C01044,345,4,4124,64,0,0.28
C01517,34,5,160,6,0,0.58
C05046,23,14,1317,60,1,0
C05108,53,2,363,6,0,0.78
C01146,0,3,145,1,1,0.67
C02718,20,1,477,3,0,0.61
C02700,40,9,1065,50,2,0.29
C02559,12,9,845,52,1,0
C05620,33,2,156,3,3,0.54
C03622,150,3,533,36,1,0.38
C05390,274,3,1877,61,1,0.49
C01090,18,14,885,30,0,0.19
C03205,44,16,194,32,0,0.98
C03090,10,9,1084,46,1,0.01
C01171,37,17,182,29,3,0.98
C01339,33,2,121,5,0,0.54
C03533,31,14,340,14,3,0.84
C05184,39,3,149,4,0,0.47
C02705,30,12,306,43,3,1
C03336,46,2,196,3,0,0.42
C02263,213,3,1756,35,0,0.28
C01528,23,23,333,30,3,1
C04309,74,4,105,5,0,0.79
C03594,0,14,321,52,1,0.02
C05020,137,4,677,84,1,0.36
C00830,41,16,745,77,1,0.01
C03515,17,1,190,3,0,0.61
C05486,22,10,437,47,1,0
C04328,37,9,1024,36,0,0
C05327,27,14,305,33,2,1
C01105,114,3,1735,41,1,0.28
C04350,19,8,444,11,2,0.96
C05917,11,11,345,16,4,0.82
C02749,45,7,234,42,1,0.32
C04477,31,12,412,15,2,0.95
C03706,38,16,477,39,0,0.9
C02597,9,10,436,67,0,0.18
C04553,22,11,446,36,0,0.92
C00076,36,9,1404,18,0,0.14
C02517,21,18,171,29,4,1
C02476,31,11,1098,37,0,0.26
C02378,26,9,727,73,0,0.08
C04890,298,4,2272,44,2,0.35
C02796,35,13,955,66,0,0.17
C05607,66,9,703,77,1,0
C02167,25,8,1259,67,0,0.13
C05555,65,3,195,5,0,0.47
C05685,53,10,1234,76,0,0
C00134,39,18,294,11,1,0.99
C04657,186,3,994,34,0,0.22
C03896,44,6,739,70,0,0.13
C00736,266,2,441,28,0,0.48
C05068,45,3,165,6,0,0.67
C03729,50,14,707,67,0,0.13
C02972,39,8,589,91,1,0.28
C05360,35,20,203,13,2,0.97
C04432,240,4,3172,46,1,0.26
C05760,223,3,1616,41,0,0.45
C02961,30,6,737,65,0,0.15
C04126,220,2,2424,21,0,0.39
C03933,28,9,535,56,0,0.13
C03344,52,5,168,1,1,0.43
C05892,43,15,166,28,0,0.95
C00781,39,11,490,37,2,0.82
C00547,26,9,1409,55,1,0.38
C02284,299,1,750,37,1,0.51
C05419,41,10,575,80,0,0.11
C01235,49,1,215,2,0,0.66
C05812,25,19,691,25,0,0.14
C03881,27,13,138,42,1,0.83
C05088,29,11,1182,69,0,0.07
C04433,31,13,2083,47,1,0.13
C01031,41,18,190,42,2,1
C05547,27,13,596,36,1,0
C05333,172,4,2368,39,1,0.2
C03020,30,13,785,71,2,0.19
C02795,224,3,1679,24,0,0.31
C00148,179,2,451,47,0,0.43
C00566,173,4,6069,16,0,0.4
C00617,34,13,311,44,0,0.08
C01863,22,8,1144,83,2,0.06
C00137,32,5,114,4,1,0.63
C04169,274,2,851,54,0,0.42
C01669,80,2,106,5,0,0.65
C05305,13,15,1641,42,2,0.17
C02248,98,5,1648,35,0,0.47
C00660,239,1,1315,45,1,0.44
C00436,48,9,470,67,1,0.02
C01618,31,16,1114,51,1,0.03
C01706,25,13,101,24,1,0.82
C05837,274,2,1002,61,0,0.25
C05886,26,10,508,92,2,0
C00393,44,15,1021,23,1,0.3
C03994,17,2,264,4,0,0.5
C02154,13,2,141,5,0,0.54
C01952,27,12,593,62,0,0
C03676,22,9,767,60,0,0.23
C02660,23,10,496,76,0,0.17
C05559,11,17,283,15,1,0.87
C03491,55,4,199,7,1,0.7
C00875,13,11,655,48,0,0.01
C05871,236,1,720,51,0,0.44
C01492,0,7,123,55,3,0.98
C05076,6,5,179,4,1,0.71
C04152,30,20,208,28,2,1
C00485,301,4,1417,72,0,0.44
C02161,219,4,2394,62,0,0.22
C02414,11,12,927,62,0,0.01
C00787,16,15,522,57,0,0.19
C01226,219,4,952,82,0,0.38
C03169,17,13,1126,88,0,0.3
C04733,8,1,401,2,1,0.45
C02887,161,6,1798,52,1,0.14
C01021,37,12,1385,59,0,0.31
C02227,33,15,245,26,0,0.9
C04092,14,18,212,24,0,0.89
C05579,115,1,565,49,1,0.55
C02330,15,10,584,61,0,0.19
C05235,48,5,327,3,0,0.54
C03373,42,11,566,54,1,0.04
C01071,25,21,192,4,1,1
C02564,213,5,1586,51,0,0.09
C01521,68,16,1696,74,1,0.03
C04093,19,19,194,16,3,1
C01744,54,8,1210,81,2,0.06
C05481,20,3,266,5,0,0.67
C00009,60,14,354,33,1,0.09
C01862,34,11,544,70,0,0.19
C04987,36,3,170,2,1,0.59
C00129,247,6,1739,63,0,0.17
C01204,241,4,2801,43,1,0.45
C00641,5,11,1133,55,0,0.01
C03506,19,13,594,62,2,0.84
C04049,156,4,2913,43,0,0.36
C01690,38,8,817,70,0,0
C04648,38,10,881,47,0,0.24
C04956,14,22,128,39,1,0.86
C00141,118,2,2388,26,0,0.16
C03235,24,3,330,6,1,0.45
C04993,23,12,755,61,0,0.25
C03135,45,9,540,57,0,0
C02295,41,1,128,5,0,0.5
C02812,30,10,1076,86,0,0
C05538,14,5,158,6,1,0.78
C01085,63,1,67,5,1,0.7
C04277,322,4,1679,70,1,0.41
C04917,21,20,329,19,2,0.9
C02234,29,12,264,57,2,0.92
C05308,14,13,898,50,0,0.09
C00989,60,1,246,4,0,0.42
C05636,26,10,725,53,1,0.11
C04902,24,10,648,66,0,0.17
C01845,42,15,275,36,0,0.81
C03720,18,17,510,32,2,0.73
C04756,47,9,897,97,0,0
C00534,77,1,192,4,0,0.5
C02775,191,5,4056,46,0,0.44
C01755,31,10,775,73,1,0.17
C01298,35,18,201,37,3,0.62
C01102,268,4,783,54,0,0.39
C05102,12,17,272,23,1,0.86
C04461,246,2,1777,53,0,0.32
C01692,26,5,251,6,0,0.5
C03749,32,15,205,31,2,0.81
C02677,12,2,532,27,2,1
C04428,35,13,1451,89,0,0.1
C02759,37,12,740,58,1,0
C03890,26,9,725,89,2,0.23
C01114,33,15,807,43,1,0.07
C01909,219,1,1527,39,3,0.47
C04489,23,10,382,51,0,0.1
C01419,32,10,377,66,0,0.17
C05031,281,1,2138,62,0,0.23
C03229,18,13,910,73,1,0.09
C01581,30,10,221,36,2,0.73
C01179,35,8,559,65,0,0.3
C04351,4,10,1091,41,0,0.08
C02182,181,3,2917,48,0,0.38
C05240,17,2,137,5,0,0.54
C03948,21,13,526,48,0,0.85
C00603,272,3,747,62,0,0.47
C04641,32,5,682,63,1,0.31
C01458,19,4,118,4,1,0.44
C03119,10,2,158,5,0,0.57
C05168,38,6,381,5,1,0.29
C02484,152,5,1271,85,0,0.62
C03889,31,12,1227,29,0,0
C02166,30,20,328,32,1,0.91
C05489,52,13,2116,50,0,0.18
C04673,17,9,554,75,0,0.18
C02266,31,11,181,34,0,1
C03707,24,18,1154,68,1,0.16
C02495,59,15,563,57,0,0.07
C04211,3,14,672,51,2,0.08
C02443,65,4,177,3,0,0.66
C00399,36,3,153,6,1,0.68
C03488,204,1,4440,31,1,0.29
C00305,62,4,268,2,1,0.49
C01256,55,4,211,1,0,0.56
C04550,23,17,160,27,2,0.85
C04170,275,3,1077,56,0,0.42
C00530,27,10,294,34,1,0.86
C00160,53,11,415,56,0,0.21
C05429,252,3,1060,32,2,0.37
C00858,298,1,2777,41,0,0.46
C02863,45,15,578,34,3,1
C02848,292,2,1430,54,0,0.52
C00067,37,16,577,56,1,0
C01511,18,13,377,23,3,1
C01311,28,9,494,57,1,0.11
C00696,176,1,1232,49,0,0.13
C04707,38,1,736,90,1,0.15
C05809,118,6,2991,44,1,0.02
C00138,193,2,1581,30,0,0.44
C01515,57,2,196,4,0,0.54
C00156,178,4,1679,20,1,0.5
C04811,197,3,1305,41,1,0.27
C01030,35,16,406,34,1,1
C05234,12,1,311,4,0,0.76
C01471,209,2,1765,29,1,0.37
C01687,75,3,163,4,0,0.53
C03623,92,3,780,50,0,0.51
C01912,12,9,180,15,3,0.95
C02800,27,3,242,4,0,0.4
C01446,18,13,293,16,1,0.72
C03863,156,3,2099,52,0,0.33
C04566,19,8,766,51,2,0.12
C01052,351,3,963,59,1,0.35
C01736,162,3,880,53,0,0.34
C00087,11,13,116,52,0,0.82
C00226,40,13,1947,80,0,0.14
C03334,19,16,126,11,1,0.93
C05937,9,13,685,58,1,0.1
C00556,32,12,232,17,3,0.95
C03909,94,3,965,65,0,0.42
C05846,24,14,692,93,0,0.13
C03921,39,6,531,51,1,0.12
C04672,16,6,1633,47,2,0.16
C01358,37,17,307,37,1,0.91
C01770,38,13,438,71,0,0.11
C00776,32,11,288,63,1,0.04
C00903,31,14,995,57,0,0.05
C01136,65,3,351,2,0,0.47
C00655,30,13,275,30,2,0.9
C02421,29,10,739,22,3,0.9
C00699,40,7,546,51,0,0.01
C05570,38,2,144,5,0,0.57
C05115,48,3,189,3,1,0.52
C01758,11,9,467,38,0,0.87
C01835,40,13,527,47,1,0.18
C02678,43,2,154,8,0,0.48
C00940,22,10,339,45,0,0.27
C05341,52,4,179,4,1,0.64
C00545,24,12,587,92,0,0.03
C01806,21,11,347,22,2,0.84
C00384,33,22,122,29,3,0.92
C03995,73,3,2946,65,0,0.23
C03146,36,11,395,47,1,1
C05821,35,5,1199,57,1,0.05
C03295,19,9,435,58,0,0.07
C02109,6,9,580,79,0,0.02
C02657,18,9,789,56,0,0
C03837,58,12,641,30,0,0.1
C05121,36,14,417,23,4,1
C03211,47,11,703,44,0,0.17
C03799,359,4,2227,31,0,0.4
C04413,255,2,861,44,1,0.31
C03057,47,12,1175,74,0,0.24
C04492,36,1,314,9,0,0.6
C02581,37,6,260,5,0,0.43
C02649,23,16,1490,62,1,0.06
C03656,17,11,286,18,1,0.88
C04713,39,10,913,44,0,0.05
C04701,37,2,91,4,1,0.47
C00190,47,13,199,14,1,0.96
C01670,18,16,1034,50,1,0.36
C03987,58,10,446,65,0,0.03
C05208,11,14,1488,54,0,0.15
C05529,279,1,988,65,0,0.13
C03255,25,11,800,45,1,0.33
C01533,60,5,204,4,0,0.43
C05838,43,1,243,4,0,0.59
C05247,55,6,70,5,0,0.53
C03888,174,5,2050,42,1,0.49
C05016,36,4,263,4,0,0.49
C02839,46,13,1033,66,0,0
C05427,47,12,289,47,3,0.97
C00034,71,1,82,5,0,0.72
C02063,42,19,510,52,2,0.26
C01309,27,10,2077,70,1,0.06
C05106,22,2,100,7,0,0.51
C03179,29,7,691,49,1,0.21
C02907,27,10,1152,26,2,0.84
C03832,0,7,214,18,1,1
C00452,16,7,539,52,0,0.14
C01693,81,5,108,7,0,0.3
C03821,38,12,581,51,0,0.19
C04687,6,6,1400,36,0,0.21
C01342,36,11,681,83,2,0
C03437,26,13,1164,75,1,0
C01636,21,16,1184,111,2,0.07
C04874,39,9,921,72,0,0
C00804,37,15,525,38,0,0.08
C01688,33,18,435,40,2,1
C00489,282,1,4102,56,0,0.53
C04635,28,16,1336,65,0,0.26
C01965,60,5,385,5,0,0.49
C02902,19,9,663,31,0,0.05
C01814,7,13,582,55,1,0.14
C05510,21,2,162,5,0,0.65
C03390,23,14,207,39,1,1
C00061,45,19,179,47,3,1
C05786,48,11,1009,72,0,0.3
C00227,33,16,813,75,0,0.13
C04314,10,10,295,22,2,0.85
C02959,21,10,1147,27,1,0.29
C04098,19,23,202,40,3,0.63
C04665,11,10,431,48,2,0.85
C04271,236,2,1245,77,1,0.33
C05271,56,6,779,64,1,0.08
C05470,0,12,269,19,2,1
C02334,37,2,188,3,0,0.65
C04389,30,3,114,2,2,0.37
C03378,15,9,789,36,0,0.21
C01664,42,1,96,6,1,0.41
C02614,43,12,1280,54,0,0.24
C05679,35,13,646,18,1,0.24
C00932,27,10,210,28,6,0.79
C05258,10,16,630,25,0,0.04
C03715,46,2,191,7,0,0.4
C03671,26,9,877,44,2,0
C04185,52,7,1262,69,2,0
C05017,201,2,1739,28,0,0.41
C03812,23,20,198,33,1,0.8
C01973,43,7,573,70,0,0.19
C04034,16,10,1055,72,0,0.35
C02368,40,12,484,57,0,0.2
C03984,12,11,669,62,0,0.04
C00552,21,12,278,44,3,0.82
C03751,67,1,252,1,1,0.65
C01691,33,10,139,29,3,0.97
C03774,35,12,1224,57,1,0.22
C01482,19,11,648,84,0,0.01
C00217,33,6,1063,65,0,0.25
C03897,201,5,3332,23,0,0.17
C00540,0,10,369,83,1,0.43
C04594,15,10,340,33,1,1
C05227,277,4,1459,45,0,0.44
C05661,17,15,196,37,2,1
C05085,330,4,1621,46,0,0.29
C04739,252,1,2641,60,2,0.35
C03339,42,1,70,4,1,0.62
C05901,21,5,528,6,0,0.5
C01253,23,10,716,90,0,0.09
C05982,35,20,169,25,2,0.74
C04528,30,16,1004,95,0,0.18
C00040,40,17,235,39,2,1
C01981,72,3,145,2,1,0.5
C00210,194,2,798,78,1,0.42
C04422,28,15,1403,67,0,0.26
C04909,59,18,236,27,2,0.95
C05670,30,14,314,41,0,1
C04016,86,3,239,1,0,0.51
C03095,16,3,222,1,1,0.59
C03511,43,1,232,1,1,0.72
C05983,18,11,696,91,0,0
C00174,299,3,1181,39,0,0.5
C05882,31,16,197,20,3,1
C00501,24,11,179,18,2,0.98
C05267,30,17,728,105,0,0.16
C02818,31,4,405,3,0,0.57
C04737,35,7,469,70,0,0.06
C03292,178,6,767,72,1,0.21
C02937,39,13,611,76,2,0.21
C02626,25,14,385,16,1,0.85
C03817,25,2,341,6,0,0.82
C01223,13,12,330,20,1,0.7
C03114,0,14,988,67,0,0.27
C00970,31,10,327,61,1,0.03
C04457,37,10,1020,69,0,0.15
C03168,28,6,450,87,1,0.14
C00162,163,5,1394,48,1,0.43
C03808,54,4,214,2,2,0.56
C04224,27,15,337,33,1,0.84
C04978,253,1,1448,62,0,0.47
C00167,26,4,382,83,0,0
C03609,17,19,230,21,3,0.97
C00268,267,4,763,38,0,0.39
C03013,34,15,724,53,0,0.02
C00405,13,9,822,70,0,0.03
C05739,47,12,1130,40,0,0
C05643,40,3,187,1,0,0.61
C05531,47,3,122,5,0,0.53
C04633,41,4,153,3,1,0.5
C02059,17,15,359,13,4,0.89
C05480,13,20,669,50,0,1
C04700,17,1,133,6,0,0.47
C04965,270,2,868,78,0,0.41
C05674,46,1,174,5,1,0.64
C00870,229,2,1618,74,1,0.29
C02085,265,5,3176,45,0,0.33
C00777,20,18,348,14,1,1
C04141,21,1,211,1,0,0.76
C01542,108,5,901,40,1,0.43
C03667,20,18,220,35,1,0.78
