respondent,brand,attribute
820,D,For young people
821,A,Premium
822,B,Premium
822,B,Cheap
822,B,Innovative
823,B,Reliable
824,C,For young people
825,C,Innovative
825,C,Reliable
825,C,Premium
826,A,Premium
826,A,Reliable
826,A,For young people
827,B,For young people
827,B,Premium
828,D,Premium
828,D,Innovative
828,D,Reliable
829,A,Reliable
829,A,Innovative
830,D,Reliable
830,D,Innovative
831,B,Cheap
832,D,Premium
832,D,Reliable
832,D,Innovative
833,D,Innovative
833,D,For young people
833,D,Reliable
834,B,For young people
834,B,Cheap
834,B,Reliable
835,A,For young people
835,A,Reliable
836,A,Reliable
836,A,Innovative
837,A,Reliable
837,A,For young people
838,C,Reliable
838,C,Premium
838,C,Innovative
839,A,Reliable
839,A,Cheap
839,A,Premium
840,C,Innovative
841,D,Premium
841,D,Innovative
842,C,Innovative
843,C,Innovative
843,C,Reliable
844,D,Innovative
844,D,Premium
844,D,Reliable
845,B,Innovative
845,B,For young people
846,D,Reliable
846,D,For young people
846,D,Premium
847,A,Innovative
847,A,Reliable
847,A,Cheap
848,B,Cheap
849,B,Cheap
850,C,For young people
851,D,Premium
852,C,Innovative
853,D,Reliable
854,C,Premium
855,A,Premium
855,A,Innovative
855,A,Reliable
856,C,Innovative
856,C,Reliable
857,B,Cheap
857,B,For young people
857,B,Reliable
858,C,For young people
858,C,Reliable
858,C,Innovative
859,C,Innovative
859,C,Premium
859,C,For young people
860,A,Reliable
861,A,Innovative
861,A,Reliable
862,C,Premium
862,C,Innovative
862,C,Reliable
863,C,Innovative
864,C,For young people
864,C,Innovative
864,C,Reliable
865,C,Reliable
865,C,For young people
865,C,Innovative
866,D,Premium
866,D,Reliable
867,C,Innovative
867,C,Premium
868,A,Innovative
869,A,Premium
870,B,Reliable
870,B,For young people
870,B,Cheap
871,A,Innovative
871,A,Reliable
872,A,Reliable
872,A,Innovative
872,A,Premium
873,D,Premium
873,D,For young people
874,B,For young people
875,A,Reliable
875,A,Premium
876,A,Innovative
876,A,Premium
877,D,For young people
877,D,Premium
878,A,For young people
878,A,Innovative
879,D,Cheap
880,B,For young people
880,B,Cheap
881,B,Premium
882,A,For young people
882,A,Premium
883,B,Premium
884,C,Premium
885,D,Premium
885,D,For young people
885,D,Reliable
886,D,Premium
886,D,Cheap
887,D,Reliable
888,A,Premium
888,A,Cheap
888,A,Reliable
889,D,Innovative
890,A,Reliable
891,D,Reliable
891,D,Premium
892,A,Innovative
892,A,Cheap
893,C,Reliable
894,C,Premium
895,D,Innovative
895,D,Premium
896,B,Cheap
896,B,Reliable
896,B,Innovative
897,B,For young people
897,B,Innovative
898,D,Innovative
898,D,Premium
898,D,Reliable
899,C,Innovative
899,C,For young people
900,C,Reliable
901,D,Premium
901,D,Cheap
902,C,Reliable
903,C,Innovative
903,C,For young people
904,C,Innovative
904,C,Premium
904,C,For young people
905,C,Innovative
905,C,For young people
906,D,Reliable
906,D,Premium
906,D,For young people
907,C,Reliable
907,C,Innovative
907,C,For young people
908,D,Premium
909,A,Reliable
909,A,Innovative
910,D,Reliable
911,D,Innovative
911,D,Reliable
912,B,For young people
913,D,Premium
913,D,Reliable
913,D,Innovative
914,A,Premium
914,A,Cheap
914,A,Innovative
915,D,Innovative
916,C,Premium
917,B,Cheap
918,C,Reliable
918,C,Premium
919,B,Cheap
920,B,Cheap
920,B,For young people
920,B,Reliable
921,D,Reliable
922,A,Reliable
922,A,Innovative
923,C,Premium
923,C,Innovative
924,C,Innovative
924,C,Cheap
925,B,Innovative
926,D,Reliable
927,A,Reliable
927,A,Innovative
927,A,For young people
928,A,Cheap
928,A,Reliable
929,D,Premium
929,D,Innovative
930,C,Innovative
930,C,Reliable
931,A,For young people
931,A,Reliable
932,B,Cheap
932,B,For young people
932,B,Innovative
933,C,Innovative
933,C,Reliable
933,C,For young people
934,B,Cheap
934,B,Reliable
934,B,For young people
935,B,Cheap
936,A,For young people
936,A,Innovative
937,D,Reliable
938,C,Innovative
938,C,Premium
938,C,Reliable
939,C,Innovative
940,B,For young people
941,B,Cheap
942,B,Cheap
942,B,For young people
943,D,Innovative
943,D,Premium
944,C,Innovative
944,C,Reliable
944,C,Premium
945,A,Innovative
946,B,Cheap
946,B,For young people
946,B,Reliable
947,A,Cheap
948,C,Premium
949,A,Innovative
949,A,Reliable
949,A,Premium
950,C,For young people
950,C,Innovative
950,C,Reliable
951,D,Premium
952,C,Premium
953,D,Premium
953,D,Innovative
954,A,Innovative
955,B,Cheap
955,B,For young people
955,B,Innovative
956,B,For young people
956,B,Reliable
956,B,Premium
957,D,Innovative
957,D,Reliable
957,D,Premium
958,C,Cheap
959,B,Cheap
959,B,For young people
960,B,For young people
961,D,Premium
962,A,Reliable
963,B,Reliable
964,B,Cheap
964,B,For young people
965,A,Premium
966,A,Reliable
966,A,Cheap
966,A,Premium
967,A,Reliable
968,D,Innovative
969,D,For young people
970,A,Reliable
970,A,Premium
971,A,Reliable
971,A,For young people
972,D,Reliable
973,D,Premium
973,D,Reliable
974,D,Reliable
974,D,Premium
975,B,For young people
976,D,Premium
976,D,Reliable
976,D,Cheap
977,B,Cheap
977,B,For young people
978,C,For young people
979,B,Cheap
979,B,Innovative
979,B,For young people
980,C,Premium
980,C,Innovative
980,C,For young people
981,A,Reliable
981,A,Cheap
981,A,Premium
982,A,Reliable
982,A,Premium
983,C,Premium
983,C,Innovative
983,C,Reliable
984,C,Premium
984,C,Innovative
984,C,For young people
985,D,Reliable
986,C,For young people
986,C,Reliable
986,C,Innovative
987,B,Cheap
987,B,For young people
988,B,Cheap
988,B,Reliable
988,B,For young people
989,A,Premium
990,D,Premium
990,D,Innovative
990,D,Reliable
991,D,Premium
991,D,Reliable
992,A,Reliable
993,A,For young people
993,A,Reliable
994,B,For young people
994,B,Innovative
995,B,Premium
995,B,For young people
995,B,Reliable
996,B,Reliable
996,B,For young people
997,B,Cheap
997,B,For young people
997,B,Innovative
998,D,For young people
998,D,Reliable
998,D,Premium
999,D,Innovative
1000,B,Cheap
1001,C,Premium
1001,C,Innovative
1002,C,Innovative
1003,A,Reliable
1004,D,Premium
1004,D,Reliable
1004,D,Innovative
1005,B,Cheap
1005,B,Reliable
1006,A,Reliable
1006,A,Innovative
1007,C,Premium
1007,C,Cheap
1008,C,Cheap
1008,C,Innovative
1008,C,For young people
1009,B,For young people
1009,B,Innovative
1009,B,Reliable
1010,D,Premium
1011,A,Reliable
1011,A,Innovative
1011,A,Premium
1012,C,Reliable
1012,C,Innovative
1012,C,Cheap
1013,C,For young people
1013,C,Innovative
1013,C,Reliable
1014,B,Cheap
1015,C,Reliable
1015,C,Cheap
1015,C,Innovative
1016,D,Premium
1016,D,Innovative
1016,D,Reliable
1017,C,Innovative
1017,C,Reliable
1017,C,Cheap
1018,B,For young people
1018,B,Cheap
1018,B,Reliable
1019,A,Reliable
1019,A,Innovative
1020,D,Premium
1021,A,Innovative
1022,C,Innovative
1022,C,Premium
1023,D,Reliable
1024,B,Innovative
1024,B,For young people
1024,B,Cheap
1025,D,Innovative
1025,D,Premium
1026,C,Premium
1027,B,Cheap
1027,B,Innovative
1027,B,For young people
1028,C,For young people
1028,C,Innovative
1028,C,Premium
1029,A,Reliable
1029,A,For young people
1030,A,Innovative
1031,D,Premium
1031,D,Innovative
1032,A,For young people
1032,A,Innovative
1032,A,Reliable
1033,B,Innovative
1034,C,For young people
1034,C,Innovative
1034,C,Reliable
1035,B,Cheap
1035,B,For young people
1035,B,Premium
1036,C,Premium
1036,C,Innovative
1036,C,For young people
1037,D,Premium
1038,A,Innovative
1039,D,Premium
1040,A,For young people
1040,A,Innovative
1041,A,Innovative
1042,C,Premium
1042,C,Innovative
1042,C,For young people
1043,C,Innovative
1044,D,Premium
1044,D,Reliable
1045,A,Premium
1045,A,Innovative
1046,A,Reliable
1046,A,Innovative
1047,B,Cheap
1047,B,For young people
1047,B,Innovative
1048,C,Innovative
1049,A,Reliable
1049,A,For young people
1049,A,Innovative
1050,B,Cheap
1050,B,Innovative
1051,A,Reliable
1051,A,Cheap
1051,A,Innovative
1052,B,Cheap
1052,B,For young people
1052,B,Premium
1053,D,Premium
1054,B,Innovative
1054,B,For young people
1055,A,Innovative
1055,A,For young people
1055,A,Reliable
1056,A,Reliable
1056,A,Innovative
1056,A,For young people
1057,C,Innovative
1057,C,For young people
1058,C,Cheap
1059,D,Premium
1060,A,Reliable
1060,A,Premium
1061,B,For young people
1061,B,Innovative
1062,C,Cheap
1063,D,Premium
1063,D,Reliable
1063,D,For young people
1064,B,Cheap
1065,B,For young people
1066,A,Innovative
1066,A,Premium
1067,B,For young people
1067,B,Cheap
1067,B,Innovative
1068,D,For young people
1069,C,Innovative
1070,D,Premium
1071,D,Premium
1072,D,Reliable
1072,D,Premium
1073,D,Reliable
1074,D,Premium
1074,D,Reliable
1075,A,Reliable
1076,A,For young people
1076,A,Reliable
1077,D,Cheap
1077,D,Premium
1078,D,Premium
1078,D,Innovative
1079,B,Cheap
1079,B,For young people
1080,C,Innovative
1080,C,Premium
1080,C,For young people
1081,D,Premium
1082,A,For young people
1083,A,Premium
1084,D,For young people
1084,D,Premium
1085,A,Reliable
1086,B,Cheap
1086,B,Reliable
1087,D,Reliable
1088,B,Reliable
1089,A,Reliable
1089,A,Innovative
1090,B,For young people
1091,C,For young people
1091,C,Innovative
1091,C,Cheap
1092,A,Cheap
1092,A,Innovative
1093,B,Cheap
1094,B,Cheap
1095,B,For young people
1095,B,Reliable
1095,B,Cheap
1096,B,Reliable
1096,B,For young people
1097,C,For young people
1097,C,Reliable
1098,A,For young people
1098,A,Reliable
1099,A,Premium
1100,C,Reliable
1100,C,Innovative
1100,C,Premium
1101,A,Reliable
1102,B,For young people
1102,B,Cheap
1103,D,Premium
1104,B,Cheap
1105,A,Innovative
1106,C,Premium
1106,C,Innovative
1106,C,For young people
1107,D,Innovative
1108,C,Reliable
1108,C,For young people
1109,B,For young people
1109,B,Reliable
1109,B,Cheap
1110,A,Reliable
1110,A,Innovative
1111,D,Reliable
1111,D,Premium
1112,B,Cheap
1112,B,Reliable
1113,A,Reliable
1114,A,Reliable
1114,A,Innovative
1114,A,Premium
1115,D,Premium
1115,D,Reliable
1115,D,Innovative
1116,C,For young people
1116,C,Premium
1116,C,Reliable
1117,C,For young people
1117,C,Innovative
1117,C,Reliable
1118,C,Premium
1119,A,Premium
1119,A,Innovative
1119,A,Cheap
1120,A,For young people
1120,A,Innovative
1120,A,Cheap
1121,C,Reliable
1122,D,Premium
1123,C,Reliable
1123,C,For young people
1124,A,Reliable
1124,A,Premium
1125,A,Reliable
1126,D,Premium
1126,D,Reliable
1126,D,Innovative
1127,A,Reliable
1127,A,Cheap
1128,A,Reliable
1128,A,Innovative
1128,A,For young people
1129,A,Innovative
1130,D,Premium
1130,D,Innovative
1131,A,Cheap
1132,A,Innovative
1132,A,Reliable
1132,A,Premium
1133,D,Innovative
1133,D,Premium
1134,A,For young people
1134,A,Premium
1135,B,For young people
1135,B,Innovative
1135,B,Cheap
1136,D,For young people
1137,A,Reliable
1137,A,Cheap
1138,C,Innovative
1138,C,Premium
1138,C,Cheap
1139,D,Premium
1139,D,For young people
1139,D,Reliable
1140,A,Premium
1141,D,For young people
1142,A,Innovative
1143,C,Innovative
1143,C,Premium
1144,C,Innovative
1144,C,For young people
1144,C,Reliable
1145,C,Innovative
1146,C,Innovative
1147,A,Cheap
1147,A,Innovative
1147,A,Reliable
1148,B,Cheap
1148,B,For young people
1149,B,Cheap
1149,B,Reliable
1149,B,For young people
1150,B,Cheap
1151,B,For young people
1151,B,Cheap
1151,B,Reliable
1152,A,Reliable
1153,B,For young people
1154,C,Innovative
1154,C,For young people
1155,D,Premium
1155,D,Reliable
1155,D,For young people
1156,D,Premium
1157,C,Reliable
1157,C,Innovative
1158,B,Cheap
1158,B,For young people
1158,B,Reliable
1159,C,Innovative
1160,B,Cheap
1160,B,For young people
1161,A,Reliable
1162,B,Cheap
1163,D,Premium
1163,D,Reliable
1163,D,Innovative
1164,C,Premium
1164,C,Innovative
1165,D,Premium
1165,D,Reliable
1166,C,For young people
1167,C,Reliable
1167,C,Innovative
1168,D,Reliable
1168,D,Premium
1169,C,Innovative
1169,C,Premium
1170,B,Cheap
1170,B,For young people
1171,A,Reliable
1172,A,Innovative
1172,A,Reliable
1172,A,For young people
1173,B,For young people
1174,B,Reliable
1174,B,For young people
1175,C,Innovative
1175,C,Cheap
1176,C,For young people
1177,D,Premium
1178,B,For young people
1178,B,Cheap
1178,B,Reliable
1179,C,For young people
1180,B,Cheap
1180,B,For young people
1180,B,Innovative
1181,A,Reliable
1182,B,Cheap
1182,B,For young people
1182,B,Innovative
1183,D,Premium
1183,D,Reliable
1184,C,Innovative
1184,C,Reliable
1185,B,Cheap
1185,B,For young people
1185,B,Reliable
1186,D,Premium
1186,D,Innovative
1187,D,Premium
1187,D,Reliable
1187,D,Innovative
1188,D,Premium
1188,D,Reliable
1189,D,For young people
1189,D,Premium
1189,D,Reliable
1190,A,Innovative
1190,A,Reliable
1191,D,Innovative
1191,D,Reliable
1191,D,Premium
1192,B,Innovative
1192,B,Reliable
1192,B,Cheap
1193,B,Cheap
1194,C,Reliable
1195,C,Reliable
1195,C,Innovative
1196,D,Premium
1197,B,For young people
1198,B,Cheap
1199,B,Cheap
1200,C,Reliable
